法人名称,法人番号,法人種別,登記閉鎖等,法人サマリー,本社所在地(WEBサイト掲載),郵便番号(WEBサイト掲載),都道府県(WEBサイト掲載),市区町村(WEBサイト掲載),番地(WEBサイト掲載),本社所在地(登記情報),郵便番号(登記情報),都道府県(登記情報),市区町村(登記情報),番地(登記情報),サイトURL,メールアドレス,電話番号,FAX番号,業種,業種(大分類1),業種(中分類1),業種(大分類2),業種(中分類2),業種(大分類3),業種(中分類3),上場区分,法人グレード,設立年月日,資本金(円),従業員数(人),代表者名,役員,売上高(円),利益(円),決算月,国内拠点数,国内拠点名,海外拠点数,海外拠点名,関連企業数,掲載取引先数,利用サービス,Facebook,X(旧Twitter),Instagram,YouTube,LINE,アクティビティ,運営サイト数,アップロードリストとの重複
株式会社パイ・アール,'5120001131463,株式会社,,株式会社パイ・アールは、ＩｏＴ技術を活用し、交通社会の安全を向上させるためにクラウド型アルコールチェッカー「アルキラーシリーズ」を開発・提供している法人です。,大阪市中央区大手前1-7-31OMMビル18F,540-0008,大阪府,大阪市中央区,大手前1-7-31OMMビル18F,大阪府大阪市中央区大手前１丁目７番３１号,5400008,大阪府,大阪市中央区,大手前１丁目７番３１号,https://pai-r.com/,,06-6948-8011,06-6948-8012,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/インターネット附随サービス業/インターネット附随サービス業,情報通信業/情報サービス業/ソフトウェア業",情報通信業,情報サービス業,情報通信業,インターネット附随サービス業,情報通信業,情報サービス業,非上場,中小企業,2008/5,"50,000,000",50以上～100未満,安田将佑（代表取締役社長）,安田将佑（代表取締役社長）,10億以上～20億未満,,,2,東京都,,,2,,Clarity/CloudFlare/Bing広告/HubSpot (トラッカー)/Gstatic/jsDelivr/Google マップ/Yahoo! タグマネージャー/Google アナリティクス/Googleタグマネージャー,-,-,-,-,-,リリース情報掲載あり(2025/2026年)/中途採用掲載あり(先週)/案件情報掲載あり(2025/2026年),3,N/A
株式会社ＣＯＵＮＴＥＲ ＷＯＲＫＳ,'7010401114622,株式会社,,株式会社ＣＯＵＮＴＥＲ ＷＯＲＫＳは、ポップアップストアやイベントスペースのオンライン予約プラットフォーム「ＳＨＯＰＣＯＵＮＴＥＲ」を提供し、商業施設の遊休スペースを活性化させる事業を展開しています。,東京都港区六本木1丁目8−7MFPR六本木麻布台ビル9F,106-0032,東京都,港区,六本木1丁目8−7MFPR六本木麻布台ビル9F,東京都港区六本木１丁目８番７号,106-0032,東京都,港区,六本木１丁目８番７号,https://counterworks.co.jp/,,03-6420-0773,,情報通信業/インターネット附随サービス業/インターネット附随サービス業,情報通信業,インターネット附随サービス業,,,,,非上場,準大手,2014/10,"654,000,000",50以上～100未満,三瓶 直樹（代表取締役 CEO）,三瓶 直樹（代表取締役 CEO）/薮本 祐介（取締役 CFO）/山本 健人（取締役 CDO）/石川 耕（監査役）,10億以上～20億未満,,,,,,,,,jQuery CDN/jsDelivr/Googleタグマネージャー/Google マップ/Gstatic/Font Awesome,-,-,-,-,-,リリース情報掲載あり(1週間以内)/中途採用掲載あり(2025/2026年),2,N/A
トヨクモクラウドコネクト株式会社,'7010701045088,株式会社,,トヨクモクラウドコネクト株式会社は、ＳａａＳを活用したサプライチェーンパッケージの開発・提供を通じて、企業や自治体のデジタルトランスフォーメーションを支援する専門法人です。,,,,,,東京都品川区上大崎３丁目１番１号,1410021,東京都,品川区,上大崎３丁目１番１号,https://toyokumo-connect.com/,,050-1732-8888,,"情報通信業/情報サービス業/ソフトウェア業,情報通信業/情報サービス業/情報処理・提供サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,,,非上場,中小企業,2023/11,"50,000,000",～5未満,田里 友彦（代表取締役）,田里 友彦（代表取締役）/落合 雄一（副社長執行役員）/山本 裕次（取締役）/石井 和彦（取締役）/渡辺 克彦（常勤監査役）,1億以上～5億未満,,,,,,,2,,Gstatic/Google マップ/Clarity/Googleタグマネージャー/Google Cloud Storage,-,-,-,-,-,リリース情報掲載あり(2025/2026年),,N/A
株式会社ＮＡＲＩＪＩＢＵ,'6011001127899,株式会社,,株式会社ＮＡＲＩＪＩＢＵは、ＷＥＢ領域に特化した広告代理業やマツエク・ネイル・エステサロン経営など、多岐にわたる事業を展開している法人です。,東京都港区赤坂9-6-27カーム乃木坂1001,107-0052,東京都,港区,赤坂9-6-27カーム乃木坂1001,東京都港区六本木４丁目５番６号,1060032,東京都,港区,六本木４丁目５番６号,https://narijibu.co.jp/,,03-4500-7683,,"学術研究，専門・技術サービス業/広告業/広告業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業,情報通信業/インターネット附随サービス業/インターネット附随サービス業",学術研究，専門・技術サービス業,広告業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,情報通信業,インターネット附随サービス業,非上場,小規模企業,2019/4/26,"2,000,000",～5未満,田村 直稜（代表取締役）,田村 直稜（代表取締役）,1億以上～5億未満,,,,,,,,,Google Hosted Libraries/Google マップ/TypeSquare,-,-,-,-,-,,,N/A
ビープラッツ株式会社,'6010001119584,株式会社,,ビープラッツ株式会社は、サブスクリプションビジネスのための統合プラットフォーム「Ｂｐｌａｔｓ®」を中心に、デジタルトランスフォーメーションを支援し、企業のビジネスモデル革新を促進するＩＴ法人です。,東京都千代田区神田練塀町3ヒューリック秋葉原タワービルディング15階,101-0022,東京都,千代田区,神田練塀町3ヒューリック秋葉原タワービルディング15階,東京都千代田区神田練塀町３番地,1010022,東京都,千代田区,神田練塀町３番地,https://www.bplats.co.jp/,,03-6262-9434,03-6262-9439,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/インターネット附随サービス業/インターネット附随サービス業,情報通信業/情報サービス業/ソフトウェア業",情報通信業,情報サービス業,情報通信業,インターネット附随サービス業,情報通信業,情報サービス業,東証グロース,大手,2006/11,"550,365,000",50以上～100未満,藤田 健治（代表取締役社長）,宮崎 琢磨（取締役副社長）/伊藤 淳一（取締役副社長）/花輪 正一（取締役）/照沼 大（取締役）/吉田 浩二（取締役）/古川 徳厚（取締役）/太田 充生（常勤監査役）/平田 幸一郎（監査役）/田中 裕幸（監査役）,5億以上～10億未満,"-299,944,000",3月,1,福岡県,,,2,14,Googleタグマネージャー/Google アナリティクス/Typekit/reCAPTCHA/Google Hosted Libraries/Google マップ,-,-,-,-,-,リリース情報掲載あり(2025/2026年)/中途採用掲載あり(先週),4,N/A
株式会社ＡｌｐｈａＢｌｉｎｋ,'2180001155708,株式会社,,株式会社ＡｌｐｈａＢｌｉｎｋは、業務システム開発・各種ＳａａＳ導入支援・Ｗｅｂ／ＥＣ制作・各種サーバ／ネットワーク構築を主な業務とするＩＴ法人です。,,,,,,愛知県名古屋市中川区尾頭橋４丁目１３番７号,454-0012,愛知県,名古屋市中川区,尾頭橋４丁目１３番７号,https://alphablink.jp/,,052-766-7227,,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/情報サービス業/ソフトウェア業,情報通信業/インターネット附随サービス業/インターネット附随サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,情報通信業,インターネット附随サービス業,非上場,小規模企業,2023/4/3,"4,500,000",10以上～20未満,上垣内宏樹（代表者）,上垣内 宏樹（代表取締役）,1億以上～5億未満,,,,,,,,39,Googleタグマネージャー/Google マップ/Gstatic,-,-,-,-,-,,,N/A
ブルーポイント株式会社,'3012401030167,株式会社,,ブルーポイント株式会社は、デジタル領域に特化したインターネット広告代理事業やＷｅｂ制作事業、メディア事業などを展開している法人です。,,,,,,東京都新宿区西新宿７丁目１番７号新宿ダイカンプラザＡ館７１２号室,1600023,東京都,新宿区,西新宿７丁目１番７号新宿ダイカンプラザＡ館７１２号室,http://blue-point.co.jp/,,03-4500-2050,,"学術研究，専門・技術サービス業/広告業/広告業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業,情報通信業/情報サービス業/ソフトウェア業,情報通信業/情報サービス業/情報処理・提供サービス業",学術研究，専門・技術サービス業,広告業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,情報通信業,情報サービス業,非上場,不明,2015/6/1,,,渡辺哲夫（代表取締役）,渡辺哲夫（代表取締役）,,,,,,,,,,Google マップ,-,-,-,-,-,,,N/A
ＩＴエージェント株式会社,'9010401112120,株式会社,,ＩＴエージェント株式会社は、顧客の代理人として最適なＩＴサービスを提案・提供し、特にクラウドコンピューティングやＳａａＳ選定に注力したＩＴアウトソーシングおよびコンサルティング事業を展開する法人です。,,,,,,東京都港区元赤坂１丁目６番６号,1070051,東京都,港区,元赤坂１丁目６番６号,https://www.itagent.co.jp/,,03-3436-6066,,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/情報サービス業/ソフトウェア業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,非上場,小規模企業,2000/5/8,,～5未満,高尾 公一（代表取締役社長）,高尾 公一（代表取締役社長）,1億以上～5億未満,,,,,,,1,,Googleタグマネージャー/Google マップ,-,-,-,-,-,,,N/A
株式会社ＭａｉｎＣ,'1011101093889,株式会社,,株式会社ＭａｉｎＣは、マーケティング・Ｗｅｂコンテンツ・ＳａａＳ事業を主な柱とし、Ｗｅｂ・ＳＮＳ集客・広告運用のプロフェッショナルとして、戦略的な施策と豊富な経験とノウハウを活かし、未来を見据えたマーケティング戦略や高品質なコンテンツ構築、効率性の高いサービス開発を行っています。,東京都新宿区新宿5-14-12天翔オフィス新宿三丁目5階503号室,160-0022,東京都,新宿区,新宿5-14-12天翔オフィス新宿三丁目5階503号室,東京都新宿区新宿５丁目１４－１２天翔オフィス新宿三丁目５階５０３号室,1600022,東京都,新宿区,新宿５丁目１４－１２天翔オフィス新宿三丁目５階５０３号室,https://main-c.co.jp/,,03-4216-0963,,"学術研究，専門・技術サービス業/広告業/広告業,情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/インターネット附随サービス業/インターネット附随サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業,サービス業（他に分類されないもの）/職業紹介・労働者派遣業/職業紹介業",学術研究，専門・技術サービス業,広告業,情報通信業,情報サービス業,情報通信業,インターネット附随サービス業,非上場,中小企業,2021/1/22,"3,000,000",10以上～20未満,辻 亮（代表取締役）,辻 亮（代表取締役）,5億以上～10億未満,,,1,,,,,2,Gstatic/jQuery CDN/Font Awesome/Bootstrap/unpkg/Googleタグマネージャー/AddToAny/Pinterest/Polyfill/Google Hosted Libraries,◯,-,◯,◯,-,中途採用掲載あり(2025/2026年),1,N/A
ロジザード株式会社,'1010401053173,株式会社,,ロジザード株式会社は、物流業務と小売業務を支援するクラウド在庫管理システムを提供するリーディングカンパニーであり、物流ＩＴサービスを通じて顧客の業務効率化を図っています。,東京都中央区日本橋人形町三丁目3番6号,,東京都,中央区,日本橋人形町三丁目3番6号,東京都中央区日本橋人形町３丁目３番６号,1030013,東京都,中央区,日本橋人形町３丁目３番６号,https://www.logizard.co.jp/,,03-5643-6228,,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/情報サービス業/ソフトウェア業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,東証グロース,大手,2001/7/16,"303,944,000",100以上～300未満,金澤 茂則（取締役社長(代表取締役)）,三浦 英彦（取締役管理本部長）/亀田 尚克（取締役営業部長）/滝澤 玲（ 取締役監査等委員会委員長  （常勤監査等委員））/緒方 美樹（取締役(監査等委員) ）/渡辺 彰敏（取締役 （監査等委員））,20億以上～30億未満,"283,173,000",6月,3,大阪府/秋田県,,,,2,Google マップ/Googleタグマネージャー,-,-,-,-,-,リリース情報掲載あり(1週間以内)/中途採用掲載あり(2025/2026年)/商標出願あり(2025/2026年),2,N/A
あやたかシステム開発株式会社,'1290001080474,株式会社,,あやたかシステム開発株式会社は、クラウドサービス（ＳａａＳ）やオーダーメイドシステムの開発、各種パッケージシステムのカスタマイズおよび導入支援を行うＩＴ法人です。,福岡県福岡市博多区博多駅東1-16-7博多駅東尾崎ビル3F,812-0013,福岡県,福岡市博多区,博多駅東1-16-7博多駅東尾崎ビル3F,福岡県福岡市博多区博多駅東１丁目１６番７号,812-0013,福岡県,福岡市博多区,博多駅東１丁目１６番７号,https://www.ayataka.co.jp/,,092-710-6356,092-710-6357,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/情報サービス業/ソフトウェア業",情報通信業,情報サービス業,情報通信業,情報サービス業,,,非上場,中小企業,,"10,000,000",5以上～10未満,,,1億以上～5億未満,,,3,東京都/愛知県,,,,,Google マップ/Googleタグマネージャー/Google アナリティクス,-,-,-,-,-,,1,N/A
株式会社Ａｃｔｅ,'1011201024983,株式会社,,株式会社Ａｃｔｅは、ＡＩを活用したＢｔｏＢ向けＳａａＳの開発・運営、ＤＸ支援、受託開発、ＩＴコンサルティングなどの事業を展開するＩＴテクノロジー法人です。,,,,,,東京都中野区中野５丁目６７番７号プラザ中野８０１,1640001,東京都,中野区,中野５丁目６７番７号プラザ中野８０１,https://acte-tech.com/,,03-6403-5383,,"情報通信業/情報サービス業/ソフトウェア業,情報通信業/情報サービス業/情報処理・提供サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,非上場,小規模企業,2023/10,,～5未満,岩本裕（代表取締役）,岩本裕（代表取締役）,1億以上～5億未満,,,,,,,,,Gravatar/Gstatic/エックスサーバーWebフォント/reCAPTCHA/Google マップ/Googleタグマネージャー,-,-,-,-,-,案件情報掲載あり(2025/2026年),,N/A
株式会社ＧＭＪ,'5011001132867,株式会社,,株式会社ＧＭＪは、ローカルビジネスの成功を支援するために、検索プラットフォーム「シグナライザー」やウェブマーケティング、コンテンツマネジメント、ＳａａＳシステムの提供を行う法人です。,福岡県福岡市中央区天神１丁目３−３８天神121ビル9F,810-0001,福岡県,福岡市中央区,天神１丁目３−３８天神121ビル9F,東京都港区新橋５丁目３５番６号第二水野ビル７Ｆ,1050004,東京都,港区,新橋５丁目３５番６号第二水野ビル７Ｆ,https://gmj.ne.jp/,,03-5005-0132,,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/インターネット附随サービス業/インターネット附随サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業,情報通信業/情報サービス業/ソフトウェア業",情報通信業,情報サービス業,情報通信業,インターネット附随サービス業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,非上場,中小企業,,"46,990,000",5以上～10未満,高本誠也（代表取締役CEO）/甲斐ショウジ（代表取締役CTO）,高本誠也（代表取締役CEO）/甲斐ショウジ（代表取締役CTO）/安部眞一（取締役CFO）/古久保武紀（取締役CMO）/水口翼（取締役）/上田防人（執行役員）/鈴木吾朗（監査役）,1億以上～5億未満,,,1,,,,,1,Gstatic/Googleタグマネージャー/Font Awesome/Google マップ/reCAPTCHA,-,-,◯,◯,-,リリース情報掲載あり(2025/2026年),1,N/A
株式会社スカラコミュニケーションズ,'3011001042250,株式会社,,株式会社スカラコミュニケーションズは、ＳａａＳ／ＡＳＰ関連事業を主軸に、ソフトウェアの開発・販売・保守を行い、自治体の給付金事業を効率化するクラウドサービスなどを提供するＩＴ法人です。,東京都渋谷区渋谷2-21-1渋谷ヒカリエ32F,150-0002,東京都,渋谷区,渋谷2-21-1渋谷ヒカリエ32F,東京都渋谷区渋谷２丁目２１番１号,1500002,東京都,渋谷区,渋谷２丁目２１番１号,https://scala-com.jp/,privacy@scala-com.jp,03-6418-3973,,"情報通信業/情報サービス業/ソフトウェア業,情報通信業/情報サービス業/情報処理・提供サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,,,非上場,中小企業,2004/4/5,"80,000,000",20以上～30未満,新田 英明（代表取締役）,新田 英明（代表取締役）/清見 征一（取締役）/野上 謙一（取締役）/塩川 幸司（取締役）/今野 義仁（執行役員）,5億以上～10億未満,,6月,3,大阪府/東京都,,,2,1,jQuery CDN/Google マップ/HubSpot (トラッカー)/jsDelivr,-,-,-,-,-,リリース情報掲載あり(2025/2026年)/中途採用掲載あり(2025/2026年),6,N/A
かっこ株式会社,'9010001137889,株式会社,,かっこ株式会社は、ビッグデータとアルゴリズムを活用したＳａａＳ型の不正検知サービスや決済コンサルティングサービス、データサイエンスサービスを提供し、企業の課題解決や経済発展に貢献するテクノロジー法人です。,東京都港区元赤坂1-5-31新井ビル4F,107-0051,東京都,港区,元赤坂1-5-31新井ビル4F,東京都港区元赤坂１丁目５番３１号,1070051,東京都,港区,元赤坂１丁目５番３１号,https://cacco.co.jp/,pr@cacco.co.jp/ir@cacco.co.jp,03-6447-4534,,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/情報サービス業/ソフトウェア業,情報通信業/インターネット附随サービス業/インターネット附随サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,情報通信業,インターネット附随サービス業,東証グロース,大手,2011/1/28,"384,165,000",50以上～100未満,岩井 裕之（代表取締役社長）,関根 健太郎（ 専務取締役）/成田 武雄（取締役執行役員データサイエンス事業部長）/岡田 知嗣（取締役執行役員システムソリューションディビジョンマネジャー）/小川 弦一郎（取締役（監査等委員））/中山 寿英（取締役（監査等委員)）,5億以上～10億未満,"-255,031,000",12月,8,,,,,6,Googleタグマネージャー/Google Hosted Libraries/reCAPTCHA/CloudFlare/Gstatic/Wordpress,-,-,-,-,-,リリース情報掲載あり(1週間以内)/展示会出展あり(2025/2026年)/中途採用掲載あり(2025/2026年)/案件情報掲載あり(2025/2026年),2,N/A
エフアンドエムネット株式会社,'7120901014609,株式会社,,エフアンドエムネット株式会社は、バックオフィス業務の効率化を支援するクラウドベースのソフトウェアやアプリケーションを開発・提供し、ＡＩ活用やデザインサービスを通じて企業や社会の課題解決に取り組むＩＴ法人です。,,,,,,大阪府吹田市江坂町１丁目２３番３８号,5640063,大阪府,吹田市,江坂町１丁目２３番３８号,https://www.fandmnet.com/,,06-6339-9403,,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/情報サービス業/ソフトウェア業,情報通信業/インターネット附随サービス業/インターネット附随サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,情報通信業,インターネット附随サービス業,非上場,中堅,2000/9/1,"58,000,000",100以上～300未満,上枝 康弘（代表取締役社長）,上枝 康弘（代表取締役社長）/本橋 信次（会長）/渡辺 博之（常務取締役）/熊野 雅一（常務取締役）/森中 一郎（取締役）/奥村 美樹江（監査役）,20億以上～30億未満,,,2,東京都,,,1,2,CloudFlare/reCAPTCHA/Gstatic/Googleタグマネージャー/Bootstrap/unpkg/Google マップ,-,-,-,-,-,リリース情報掲載あり(2025/2026年)/中途採用掲載あり(2025/2026年)/案件情報掲載あり(2025/2026年),4,N/A
株式会社ステッド,'3120001065457,株式会社,,株式会社ステッドは、中小企業向けにデジタルトランスフォーメーション（ＤＸ）支援、業務システムの開発および導入支援を行い、顧客の課題に寄り添った「ちょうどよい」ソリューションを提供する法人です。,大阪府大阪市中央区道修町2丁目6-6塩野・日生ビル,541-0045,大阪府,大阪市中央区,道修町2丁目6-6塩野・日生ビル,大阪府大阪市中央区道修町２丁目６番６号塩野・日生ビル,541-0045,大阪府,大阪市中央区,道修町２丁目６番６号塩野・日生ビル,https://www.stead.co.jp/,,06-7732-8107,,"情報通信業/インターネット附随サービス業/インターネット附随サービス業,情報通信業/情報サービス業/ソフトウェア業,情報通信業/情報サービス業/情報処理・提供サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業",情報通信業,インターネット附随サービス業,情報通信業,情報サービス業,情報通信業,情報サービス業,非上場,中小企業,1976/12/15,"20,000,000",10以上～20未満,藤田博久（代表取締役社長）,藤田博久（代表取締役社長）,5億以上～10億未満,,,2,東京都,,,,,Gstatic/Facebook SDK/HubSpot (トラッカー)/Googleタグマネージャー/Google Cloud Storage,-,-,-,-,-,,1,N/A
株式会社フィット・コム,'8010401092933,株式会社,,株式会社フィット・コムは、健康増進施設向けの情報システム開発・業務代行、ＳａａＳ／ＡＳＰ事業、システムソリューション事業を展開している情報技術法人です。,東京都港区白金台2-25-7COM21ビル4F,108-0071,東京都,港区,白金台2-25-7COM21ビル4F,東京都港区白金台２丁目２５番７号,1080071,東京都,港区,白金台２丁目２５番７号,https://www.fitcom.co.jp/,,03-6706-0627,,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/情報サービス業/ソフトウェア業,学術研究，専門・技術サービス業/技術サービス業（他に分類されないもの）/その他の技術サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,学術研究，専門・技術サービス業,技術サービス業（他に分類されないもの）,非上場,中小企業,2000/3,"40,000,000",10以上～20未満,林 正（代表取締役）,林 正（代表取締役）,1億以上～5億未満,,,1,大阪府,,,1,,Googleタグマネージャー/Gstatic/jsDelivr/reCAPTCHA/CloudFlare/Google Hosted Libraries,-,-,-,-,-,,1,N/A
株式会社エークラス,'5180001125492,株式会社,,株式会社エークラスは、ＩＴソリューション、受託開発、自社開発、派遣事業を展開し、エンジニアのキャリア形成とスキルアップを支援する法人です。,,,,,,愛知県名古屋市中村区平池町４丁目６０番１２号グローバルゲート,4530872,愛知県,名古屋市中村区,平池町４丁目６０番１２号グローバルゲート,https://aclass-group.com/,,052-253-8918,,"情報通信業/情報サービス業/ソフトウェア業,サービス業（他に分類されないもの）/職業紹介・労働者派遣業/労働者派遣業,情報通信業/情報サービス業/情報処理・提供サービス業,サービス業（他に分類されないもの）/職業紹介・労働者派遣業/職業紹介業",情報通信業,情報サービス業,サービス業（他に分類されないもの）,職業紹介・労働者派遣業,情報通信業,情報サービス業,非上場,中堅,2016/11,"10,000,000",100以上～300未満,瀧野 篤（代表取締役）,瀧野 篤（代表取締役）/土屋秀人（取締役）,20億以上～30億未満,,,4,東京都/神奈川県/大阪府/福岡県,,,5,27,unpkg/jQuery CDN/reCAPTCHA/Gstatic/Google マップ,-,-,-,-,-,中途採用掲載あり(2025/2026年),1,N/A
合同会社中丸屋,'6020003023874,その他営利法人,,合同会社中丸屋は、ウェブサイトの企画・制作からデジタルマーケティングまでを包括的に支援し、顧客のビジネス成長を促進するサービスを提供する法人です。,神奈川県横浜市緑区霧が丘2-5-20,226-0016,神奈川県,横浜市緑区,霧が丘2-5-20,神奈川県横浜市緑区霧が丘２丁目５－２０,2260016,神奈川県,横浜市緑区,霧が丘２丁目５－２０,https://nakamaruya.com/,info@nakamaruya.com,080-3412-6945,,"情報通信業/インターネット附随サービス業/インターネット附随サービス業,情報通信業/情報サービス業/情報処理・提供サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業,情報通信業/情報サービス業/ソフトウェア業",情報通信業,インターネット附随サービス業,情報通信業,情報サービス業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,非上場,中小企業,2022/7/1,"50,000,000",50以上～100未満,安藤 真人（代表）,安藤 真人（代表）,10億以上～20億未満,,,1,,,,,,CloudFlare,-,-,-,-,-,案件情報掲載あり(2025/2026年),,N/A
株式会社三恵クリエス,'2010901004526,株式会社,,株式会社三恵クリエスは、Ｗｅｂシステムの開発やスマートフォンアプリ開発、ＤＸ支援サービスなどを提供する法人です。クライアントとのパートナーシップを大切にし、価値を生み出す仕組みを提供し続けています。,東京都世田谷区三軒茶屋1-41-9朝日生命三軒茶屋ビル9階,154-0024,東京都,世田谷区,三軒茶屋1-41-9朝日生命三軒茶屋ビル9階,東京都世田谷区三軒茶屋１丁目４１番９号朝日生命三軒茶屋ビル９階,1540024,東京都,世田谷区,三軒茶屋１丁目４１番９号朝日生命三軒茶屋ビル９階,https://www.cries.co.jp/,info@cries.co.jp,03-6804-0794,03-6804-0793,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/情報サービス業/ソフトウェア業,情報通信業/インターネット附随サービス業/インターネット附随サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,情報通信業,インターネット附随サービス業,非上場,中小企業,1991/7/24,"10,000,000",50以上～100未満,木幡勝弘（代表取締役）,木幡勝弘（代表取締役）/安澤徹（取締役）,10億以上～20億未満,,,,,,,,1,jsDelivr/Googleタグマネージャー/YubinBango/jQuery CDN/Google Hosted Libraries/Bootstrap/JPOSTAL/Gstatic/reCAPTCHA/CloudFlare,-,-,-,-,-,リリース情報掲載あり(2025/2026年)/展示会出展あり(2025/2026年)/中途採用掲載あり(2025/2026年)/案件情報掲載あり(2025/2026年),1,N/A
株式会社エムエムラボ,'6020001085974,株式会社,,株式会社エムエムラボは、インターネット広告代理事業を主に、ＡＳＰ（アフィリエイトサービスプロバイダ）の提供、メディア事業、ＳａａＳ事業などインターネット産業を取り扱う法人です。,横浜市中区元浜町21番2号,231-0004,神奈川県,横浜市中区,元浜町21番2号,神奈川県横浜市中区元浜町３丁目２１番２号,2310004,神奈川県,横浜市中区,元浜町３丁目２１番２号,https://mmlabo.jp/,,03-3737-2333,03-5744-3626,"学術研究，専門・技術サービス業/広告業/広告業,情報通信業/インターネット附随サービス業/インターネット附随サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業",学術研究，専門・技術サービス業,広告業,情報通信業,インターネット附随サービス業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,非上場,中小企業,2004/10,"10,000,000",5以上～10未満,伊藤 敏之（代表取締役）,伊藤 敏之（代表取締役）,1億以上～5億未満,,,1,東京都,,,,5,Google マップ/Gstatic/Googleタグマネージャー/reCAPTCHA,-,-,-,-,-,,1,N/A
アイブリッジ株式会社,'8120001097974,株式会社,,アイブリッジ株式会社は、ＳａａＳ、メディア、ＥＣ、Ｗｅｂマーケティング事業を展開し、デジタルマーケティングを通じて人々の生活を豊かにすることを目指す法人です。,大阪府大阪市福島区福島6-13-6Jプロ福島ビル,553-0003,大阪府,大阪市福島区,福島6-13-6Jプロ福島ビル,大阪府大阪市福島区福島６丁目１３番６号,5530003,大阪府,大阪市福島区,福島６丁目１３番６号,https://ibridge.co.jp/,,06-6458-5816,06-6458-5837,"情報通信業/情報サービス業/情報処理・提供サービス業,学術研究，専門・技術サービス業/広告業/広告業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業,情報通信業/インターネット附随サービス業/インターネット附随サービス業",情報通信業,情報サービス業,学術研究，専門・技術サービス業,広告業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,非上場,中小企業,1999/8/26,"30,465,610",50以上～100未満,荒川 和也（代表取締役社長）,荒川 和也（代表取締役社長）,10億以上～20億未満,,,2,東京都/福岡県,,,,1,Googleタグマネージャー/Gstatic/Google Hosted Libraries/jsDelivr,-,-,-,-,-,リリース情報掲載あり(2025/2026年)/展示会出展あり(2025/2026年)/中途採用掲載あり(2025/2026年),4,N/A
